winner,loser,winner_wins,loser_wins,total_games,win_percentage,lose_percentage
miigunner,mewtwo,293,202,495,59.19,40.81
lucas,lucina,1932,1332,3264,59.19,40.81
steve,luigi,3813,2629,6442,59.19,40.81
isabelle,joker,2042,1408,3450,59.19,40.81
bowserjr,byleth,1159,800,1959,59.16,40.84
drmario,lucina,1088,751,1839,59.16,40.84
miiswordfighter,random,155,107,262,59.16,40.84
younglink,sheik,530,366,896,59.15,40.85
steve,incineroar,2618,1808,4426,59.15,40.85
terry,jigglypuff,2755,1903,4658,59.15,40.85
donkeykong,corrin,1378,952,2330,59.14,40.86
ness,joker,6518,4504,11022,59.14,40.86
miiswordfighter,darkpit,246,170,416,59.13,40.87
zelda,kirby,1383,956,2339,59.13,40.87
miibrawler,olimar,243,168,411,59.12,40.88
olimar,jigglypuff,486,336,822,59.12,40.88
duckhunt,roy,811,561,1372,59.11,40.89
ken,byleth,1139,788,1927,59.11,40.89
iceclimbers,darkpit,263,182,445,59.10,40.90
zelda,piranhaplant,1218,843,2061,59.10,40.90
rob,jigglypuff,3123,2162,5285,59.09,40.91
daisy,lucina,377,261,638,59.09,40.91
simon,sora,169,117,286,59.09,40.91
snake,pit,585,405,990,59.09,40.91
miigunner,pyra,885,613,1498,59.08,40.92
minmin,megaman,954,661,1615,59.07,40.93
greninja,joker,3775,2617,6392,59.06,40.94
snake,wolf,5416,3755,9171,59.06,40.94
ryu,younglink,561,389,950,59.05,40.95
ike,lucario,548,380,928,59.05,40.95
ryu,joker,1237,858,2095,59.05,40.95
luigi,chrom,1087,754,1841,59.04,40.96
steve,wolf,3823,2652,6475,59.04,40.96
richter,daisy,121,84,205,59.02,40.98
ness,sheik,968,672,1640,59.02,40.98
banjokazooie,kirby,1220,847,2067,59.02,40.98
minmin,ryu,543,377,920,59.02,40.98
miigunner,roy,615,427,1042,59.02,40.98
steve,zelda,2338,1624,3962,59.01,40.99
kingdedede,incineroar,2533,1760,4293,59.00,41.00
ken,zelda,1272,884,2156,59.00,41.00
pacman,pikachu,2069,1438,3507,59.00,41.00
miiswordfighter,rosalina,187,130,317,58.99,41.01
duckhunt,zerosuitsamus,701,488,1189,58.96,41.04
steve,metaknight,1050,731,1781,58.96,41.04
snake,terry,3993,2780,6773,58.95,41.05
richter,falco,981,683,1664,58.95,41.05
